Date,Open,High,Low,Close,Date_from_start,day_of_week,month,group_id
2024-08-19,2.500406,2.5221221,2.4819152,2.5027845,4165.0,0.0,8.0,Syn
2024-08-16,2.4997003,2.5220454,2.4802358,2.5029883,4162.0,4.0,8.0,Syn
2024-08-15,2.5276768,2.5524683,2.511099,2.5321658,4161.0,3.0,8.0,Syn
2024-08-14,2.5354903,2.554359,2.5134335,2.5366,4160.0,2.0,8.0,Syn
2024-08-13,2.533003,2.5522342,2.514506,2.535128,4159.0,1.0,8.0,Syn
2024-08-12,2.5280516,2.548689,2.505765,2.5343666,4158.0,0.0,8.0,Syn
2024-08-09,2.52504,2.5437944,2.5032675,2.525532,4155.0,4.0,8.0,Syn
2024-08-08,2.5248632,2.5428324,2.5026152,2.5245452,4154.0,3.0,8.0,Syn
2024-08-07,2.5249424,2.5466702,2.502992,2.524569,4153.0,2.0,8.0,Syn
2024-08-06,2.5263143,2.545256,2.5046592,2.5262341,4152.0,1.0,8.0,Syn
2024-08-05,2.5274749,2.546747,2.5059595,2.5275607,4151.0,0.0,8.0,Syn
2024-08-02,2.5276794,2.547817,2.5053728,2.523475,4148.0,4.0,8.0,Syn
2024-08-01,2.5288494,2.5448818,2.5075207,2.5289927,4147.0,3.0,8.0,Syn
2024-07-31,2.5290656,2.5486622,2.5077598,2.5291784,4146.0,2.0,7.0,Syn
2024-07-30,2.5291336,2.5487335,2.5078397,2.52921,4145.0,1.0,7.0,Syn
2024-07-29,2.5291333,2.5487244,2.5078425,2.5291708,4144.0,0.0,7.0,Syn
2024-07-26,2.5291133,2.5486956,2.5078223,2.5291195,4141.0,4.0,7.0,Syn
2024-07-25,2.5239558,2.5486667,2.5062215,2.5240471,4140.0,3.0,7.0,Syn
2024-07-24,2.5284278,2.5366893,2.4773226,2.5186114,4139.0,2.0,7.0,Syn
2024-07-23,2.5290716,2.545089,2.5077631,2.529007,4138.0,1.0,7.0,Syn
2024-07-22,2.5290627,2.5486002,2.5077467,2.5289803,4137.0,0.0,7.0,Syn
2024-07-19,2.5290544,2.5485818,2.5077314,2.5289571,4134.0,4.0,7.0,Syn
2024-07-18,2.5290468,2.5485651,2.5077176,2.5289369,4133.0,3.0,7.0,Syn
2024-07-17,2.5290406,2.5485513,2.507706,2.5289202,4132.0,2.0,7.0,Syn
