Date,Open,High,Low,Close,Date_from_start,day_of_week,month,group_id
2024-08-19,2.6479733,2.669077,2.626457,2.642243,4165.0,0.0,8.0,Syn
2024-08-16,2.6478462,2.6653955,2.6276479,2.6472664,4162.0,4.0,8.0,Syn
2024-08-15,2.645214,2.6644478,2.6244323,2.6487615,4161.0,3.0,8.0,Syn
2024-08-14,2.6411698,2.6638985,2.6204486,2.6401763,4160.0,2.0,8.0,Syn
2024-08-13,2.6441483,2.664162,2.622104,2.6409533,4159.0,1.0,8.0,Syn
2024-08-12,2.6434813,2.6627626,2.6229155,2.642232,4158.0,0.0,8.0,Syn
2024-08-09,2.6373813,2.6592464,2.6219852,2.640468,4155.0,4.0,8.0,Syn
2024-08-08,2.6379035,2.660867,2.616231,2.6411223,4154.0,3.0,8.0,Syn
2024-08-07,2.6373,2.659913,2.6211588,2.638578,4153.0,2.0,8.0,Syn
2024-08-06,2.6317585,2.6542246,2.6135604,2.637548,4152.0,1.0,8.0,Syn
2024-08-05,2.62671,2.648813,2.6064327,2.6281056,4151.0,0.0,8.0,Syn
2024-08-02,2.6367347,2.6545813,2.6122243,2.6303303,4148.0,4.0,8.0,Syn
2024-08-01,2.6348948,2.6552894,2.6165473,2.6350148,4147.0,3.0,8.0,Syn
2024-07-31,2.6316566,2.6490688,2.612298,2.6311243,4146.0,2.0,7.0,Syn
2024-07-30,2.6336663,2.6490848,2.6107328,2.6308038,4145.0,1.0,7.0,Syn
2024-07-29,2.634991,2.6547995,2.6129518,2.6342793,4144.0,0.0,7.0,Syn
2024-07-26,2.6327286,2.6560123,2.6123395,2.6330955,4141.0,4.0,7.0,Syn
2024-07-25,2.6321104,2.650479,2.611367,2.6315253,4140.0,3.0,7.0,Syn
2024-07-24,2.6333427,2.6542327,2.6131225,2.6353881,4139.0,2.0,7.0,Syn
2024-07-23,2.6344872,2.6582375,2.612343,2.6340191,4138.0,1.0,7.0,Syn
2024-07-22,2.6335213,2.653881,2.6107368,2.6352868,4137.0,0.0,7.0,Syn
2024-07-19,2.6303942,2.6522212,2.6127753,2.6325092,4134.0,4.0,7.0,Syn
2024-07-18,2.6285348,2.6502917,2.6114378,2.6327271,4133.0,3.0,7.0,Syn
2024-07-17,2.6337729,2.6498237,2.609755,2.6304865,4132.0,2.0,7.0,Syn
2024-07-16,2.6318426,2.6491878,2.6081805,2.6320705,4131.0,1.0,7.0,Syn
2024-07-15,2.629635,2.6457186,2.6155286,2.6332786,4130.0,0.0,7.0,Syn
2024-07-12,2.6318905,2.652822,2.6075575,2.6292522,4127.0,4.0,7.0,Syn
2024-07-11,2.6338627,2.6522617,2.6111977,2.6297967,4126.0,3.0,7.0,Syn
2024-07-10,2.6359708,2.6566086,2.6152642,2.634752,4125.0,2.0,7.0,Syn
2024-07-09,2.6349032,2.6564898,2.614299,2.636605,4124.0,1.0,7.0,Syn
2024-07-08,3.1086724,3.1242654,3.0828068,3.1017098,4123.0,0.0,7.0,Syn
2024-07-05,3.1050372,3.1248772,3.087161,3.1049356,4120.0,4.0,7.0,Syn
2024-07-04,3.1022394,3.1238618,3.0860057,3.1070845,4119.0,3.0,7.0,Syn
2024-07-03,3.09956,3.1183717,3.0776935,3.1025558,4118.0,2.0,7.0,Syn
2024-07-02,3.1043432,3.1187592,3.0822058,3.1015282,4117.0,1.0,7.0,Syn
2024-07-01,3.0989902,3.1188974,3.0846663,3.1017,4116.0,0.0,7.0,Syn
2024-06-28,3.0992746,3.1165361,3.0807133,3.1013787,4113.0,4.0,6.0,Syn
2024-06-27,3.0978634,3.117498,3.0772734,3.0997322,4112.0,3.0,6.0,Syn
2024-06-26,3.1011853,3.1199336,3.0798585,3.0977962,4111.0,2.0,6.0,Syn
2024-06-25,3.0919368,3.113232,3.0739856,3.0966082,4110.0,1.0,6.0,Syn
2024-06-24,3.0882175,3.1049912,3.0647008,3.08756,4109.0,0.0,6.0,Syn
2024-06-21,3.0958948,3.112594,3.0744402,3.09135,4106.0,4.0,6.0,Syn
2024-06-20,3.093624,3.1119132,3.0759137,3.0947237,4105.0,3.0,6.0,Syn
2024-06-19,3.0884147,3.1079023,3.0686693,3.0906496,4104.0,2.0,6.0,Syn
2024-06-18,3.0935695,3.107223,3.0709085,3.0881588,4103.0,1.0,6.0,Syn
2024-06-17,3.092045,3.1108189,3.0736084,3.0949142,4102.0,0.0,6.0,Syn
2024-06-14,3.094034,3.110578,3.0731626,3.0928679,4099.0,4.0,6.0,Syn
2024-06-13,3.0926251,3.1087644,3.0727637,3.0918036,4098.0,3.0,6.0,Syn
2024-06-12,3.0950837,3.1129181,3.0768995,3.0939937,4097.0,2.0,6.0,Syn
2024-06-11,3.0927913,3.1147492,3.0723681,3.0969305,4096.0,1.0,6.0,Syn
2024-06-10,3.0906577,3.1115339,3.073084,3.0951211,4095.0,0.0,6.0,Syn
2024-06-07,3.0882676,3.1062565,3.0702765,3.0889206,4092.0,4.0,6.0,Syn
2024-06-06,3.0850267,3.1032376,3.0678134,3.0884702,4091.0,3.0,6.0,Syn
2024-06-05,3.0816424,3.1039398,3.0633483,3.0844293,4090.0,2.0,6.0,Syn
2024-06-04,3.0841503,3.0999537,3.0625432,3.0816522,4089.0,1.0,6.0,Syn
2024-06-03,3.0826821,3.1008065,3.0615246,3.0842702,4088.0,0.0,6.0,Syn
2024-05-31,3.0807648,3.101276,3.0610123,3.0829575,4085.0,4.0,5.0,Syn
2024-05-30,3.0850055,3.1009507,3.0592303,3.0811062,4084.0,3.0,5.0,Syn
2024-05-29,3.0876462,3.1061013,3.0659287,3.086866,4083.0,2.0,5.0,Syn
2024-05-28,3.0867443,3.1070404,3.0661316,3.0872805,4082.0,1.0,5.0,Syn
2024-05-27,3.3087869,3.3317277,3.2780092,3.3010116,4081.0,0.0,5.0,Syn
2024-05-24,3.3042696,3.3283038,3.28144,3.3043003,4078.0,4.0,5.0,Syn
2024-05-23,3.2983437,3.3266616,3.2768176,3.30541,4077.0,3.0,5.0,Syn
2024-05-22,3.2949753,3.3212419,3.2704535,3.2970333,4076.0,2.0,5.0,Syn
2024-05-21,3.2967374,3.3188453,3.2706995,3.2941375,4075.0,1.0,5.0,Syn
2024-05-20,3.2931757,3.3187618,3.2704635,3.2959037,4074.0,0.0,5.0,Syn
2024-05-17,3.286408,3.3121803,3.2680175,3.2944126,4071.0,4.0,5.0,Syn
