Date,Open,High,Low,Close,Date_from_start,day_of_week,month,group_id
2024-08-19,4.4029045,4.445906,4.347729,4.3947406,4165.0,0.0,8.0,Syn
2024-08-16,4.401333,4.4488034,4.352389,4.400185,4162.0,4.0,8.0,Syn
2024-08-15,4.398528,4.446238,4.353366,4.4028397,4161.0,3.0,8.0,Syn
2024-08-14,4.4028444,4.4442854,4.352795,4.3999043,4160.0,2.0,8.0,Syn
2024-08-13,4.408736,4.454674,4.3605604,4.406616,4159.0,1.0,8.0,Syn
2024-08-12,4.4040427,4.4542537,4.3625445,4.408209,4158.0,0.0,8.0,Syn
2024-08-09,4.3976245,4.442825,4.3525586,4.405294,4155.0,4.0,8.0,Syn
2024-08-08,4.3928466,4.443744,4.348095,4.399669,4154.0,3.0,8.0,Syn
2024-08-07,4.3947916,4.4431577,4.3516917,4.3943806,4153.0,2.0,8.0,Syn
2024-08-06,4.3886657,4.4363894,4.3452144,4.3954663,4152.0,1.0,8.0,Syn
2024-08-05,4.384056,4.4273524,4.336544,4.3841577,4151.0,0.0,8.0,Syn
2024-08-02,4.399417,4.4419255,4.34967,4.3902555,4148.0,4.0,8.0,Syn
2024-08-01,4.39433,4.445161,4.3503175,4.401745,4147.0,3.0,8.0,Syn
2024-07-31,4.3920255,4.433421,4.3443174,4.3869176,4146.0,2.0,7.0,Syn
2024-07-30,4.4016595,4.4445324,4.3514843,4.395774,4145.0,1.0,7.0,Syn
2024-07-29,4.3988485,4.446158,4.356058,4.403965,4144.0,0.0,7.0,Syn
2024-07-26,4.398812,4.4433284,4.350996,4.398417,4141.0,4.0,7.0,Syn
2024-07-25,4.3976073,4.443879,4.3543057,4.3968415,4140.0,3.0,7.0,Syn
2024-07-24,4.3959417,4.444318,4.353311,4.3997173,4139.0,2.0,7.0,Syn
2024-07-23,4.393208,4.439917,4.3477693,4.3974953,4138.0,1.0,7.0,Syn
2024-07-22,4.389032,4.4375086,4.346184,4.396142,4137.0,0.0,7.0,Syn
2024-07-19,4.384089,4.43026,4.3446407,4.385856,4134.0,4.0,7.0,Syn
2024-07-18,4.3843856,4.428739,4.346271,4.3908105,4133.0,3.0,7.0,Syn
2024-07-17,4.3821397,4.4285817,4.340346,4.3855453,4132.0,2.0,7.0,Syn
2024-07-16,4.3819914,4.42529,4.3376045,4.3787313,4131.0,1.0,7.0,Syn
2024-07-15,4.381578,4.4283094,4.3362045,4.3816757,4130.0,0.0,7.0,Syn
2024-07-12,4.377824,4.4289527,4.3349338,4.383963,4127.0,4.0,7.0,Syn
2024-07-11,4.3853526,4.426065,4.334026,4.378935,4126.0,3.0,7.0,Syn
2024-07-10,4.39178,4.4333735,4.349078,4.390104,4125.0,2.0,7.0,Syn
2024-07-09,4.392213,4.439552,4.3468995,4.3934226,4124.0,1.0,7.0,Syn
2024-07-08,3.6660748,3.699718,3.6289456,3.6648808,4123.0,0.0,7.0,Syn
2024-07-05,3.6589763,3.6956875,3.6251404,3.6622581,4120.0,4.0,7.0,Syn
2024-07-04,3.6529076,3.6904485,3.621828,3.6578658,4119.0,3.0,7.0,Syn
2024-07-03,3.6509378,3.6853335,3.61502,3.6515176,4118.0,2.0,7.0,Syn
2024-07-02,3.6509385,3.6877131,3.6168954,3.6527789,4117.0,1.0,7.0,Syn
2024-07-01,3.6490881,3.6858563,3.6172552,3.6518312,4116.0,0.0,7.0,Syn
2024-06-28,3.6404405,3.677519,3.6090093,3.648277,4113.0,4.0,6.0,Syn
2024-06-27,3.6300323,3.6706836,3.5990999,3.6399362,4112.0,3.0,6.0,Syn
2024-06-26,3.626807,3.664891,3.5953798,3.6289082,4111.0,2.0,6.0,Syn
2024-06-25,3.621507,3.659438,3.588154,3.6266482,4110.0,1.0,6.0,Syn
2024-06-24,3.618111,3.6528602,3.582117,3.6180947,4109.0,0.0,6.0,Syn
2024-06-21,3.622905,3.6580153,3.5869122,3.6222491,4106.0,4.0,6.0,Syn
2024-06-20,3.618254,3.6574533,3.586388,3.6235955,4105.0,3.0,6.0,Syn
2024-06-19,3.6152658,3.649282,3.5801368,3.6147044,4104.0,2.0,6.0,Syn
2024-06-18,3.6182368,3.6526043,3.5804315,3.6154494,4103.0,1.0,6.0,Syn
2024-06-17,3.619268,3.6535234,3.5830371,3.617741,4102.0,0.0,6.0,Syn
2024-06-14,3.6205037,3.6540792,3.5826273,3.6183162,4099.0,4.0,6.0,Syn
2024-06-13,3.6180468,3.6534247,3.5841458,3.6184175,4098.0,3.0,6.0,Syn
2024-06-12,3.6165726,3.6562705,3.5895412,3.6201055,4097.0,2.0,6.0,Syn
2024-06-11,3.616161,3.6522403,3.5798228,3.6170235,4096.0,1.0,6.0,Syn
2024-06-10,3.6156693,3.6502504,3.579513,3.6169574,4095.0,0.0,6.0,Syn
2024-06-07,3.6153824,3.649862,3.581446,3.6125133,4092.0,4.0,6.0,Syn
2024-06-06,3.6143372,3.6505775,3.5814815,3.6177046,4091.0,3.0,6.0,Syn
2024-06-05,3.6141431,3.6505554,3.5790873,3.6146686,4090.0,2.0,6.0,Syn
2024-06-04,3.6164076,3.6496592,3.5794194,3.6099877,4089.0,1.0,6.0,Syn
2024-06-03,3.6159124,3.6518838,3.5826883,3.617359,4088.0,0.0,6.0,Syn
2024-05-31,3.6161385,3.6545203,3.579679,3.6163929,4085.0,4.0,5.0,Syn
2024-05-30,3.6229303,3.656107,3.5806446,3.6153977,4084.0,3.0,5.0,Syn
2024-05-29,3.628829,3.6597366,3.5925877,3.6244133,4083.0,2.0,5.0,Syn
2024-05-28,3.6306818,3.6677349,3.5917432,3.6293025,4082.0,1.0,5.0,Syn
2024-05-27,4.3557754,4.397107,4.3017836,4.3485093,4081.0,0.0,5.0,Syn
2024-05-24,4.353021,4.397958,4.3054457,4.352489,4078.0,4.0,5.0,Syn
2024-05-23,4.3497806,4.3953996,4.305656,4.354707,4077.0,3.0,5.0,Syn
2024-05-22,4.352526,4.391773,4.303894,4.3506484,4076.0,2.0,5.0,Syn
2024-05-21,4.357771,4.4002476,4.309913,4.355189,4075.0,1.0,5.0,Syn
2024-05-20,4.3519344,4.399198,4.3107953,4.3563237,4074.0,0.0,5.0,Syn
2024-05-17,4.3449903,4.3871145,4.3018985,4.3523083,4071.0,4.0,5.0,Syn
2024-05-16,4.338698,4.3863573,4.295559,4.3463616,4070.0,3.0,5.0,Syn
2024-05-15,4.3387246,4.3837414,4.296526,4.339011,4069.0,2.0,5.0,Syn
2024-05-14,4.332371,4.377274,4.290316,4.33854,4068.0,1.0,5.0,Syn
2024-05-13,4.329174,4.369205,4.2816463,4.3279653,4067.0,0.0,5.0,Syn
2024-05-10,4.3427515,4.38266,4.2949286,4.3345714,4064.0,4.0,5.0,Syn
2024-05-09,4.3372445,4.3848515,4.2944374,4.344061,4063.0,3.0,5.0,Syn
2024-05-08,4.334726,4.3731275,4.288418,4.3298607,4062.0,2.0,5.0,Syn
2024-05-07,4.3442726,4.3839245,4.2956276,4.3384104,4061.0,1.0,5.0,Syn
2024-05-06,4.341774,4.3866167,4.2995934,4.347155,4060.0,0.0,5.0,Syn
2024-05-03,4.341727,4.383634,4.294991,4.3415775,4057.0,4.0,5.0,Syn
2024-05-02,4.3409567,4.3839445,4.2978406,4.3404393,4056.0,3.0,5.0,Syn
2024-05-01,4.3391085,4.384819,4.2977858,4.343214,4055.0,2.0,5.0,Syn
2024-04-30,4.337102,4.381501,4.292028,4.340459,4054.0,1.0,4.0,Syn
2024-04-29,4.332683,4.379223,4.290781,4.3404226,4053.0,0.0,4.0,Syn
2024-04-26,4.32859,4.372329,4.2893806,4.3305187,4050.0,4.0,4.0,Syn
2024-04-25,4.3280373,4.3704515,4.2909865,4.3346806,4049.0,3.0,4.0,Syn
2024-04-24,4.3271127,4.370778,4.2854466,4.329674,4048.0,2.0,4.0,Syn
2024-04-23,4.327363,4.36771,4.2825217,4.324479,4047.0,1.0,4.0,Syn
2024-04-22,4.3272066,4.37077,4.2831135,4.3275332,4046.0,0.0,4.0,Syn
2024-04-19,4.324948,4.371994,4.2828827,4.3299804,4043.0,4.0,4.0,Syn
2024-04-18,4.331331,4.3714848,4.2820907,4.326301,4042.0,3.0,4.0,Syn
2024-04-17,4.338948,4.378573,4.296849,4.33685,4041.0,2.0,4.0,Syn
2024-04-16,4.3393917,4.3839154,4.295865,4.34105,4040.0,1.0,4.0,Syn
2024-04-15,4.493098,4.5438538,4.431076,4.4802694,4039.0,0.0,4.0,Syn
2024-04-12,4.497036,4.5488815,4.4430423,4.4922295,4036.0,4.0,4.0,Syn
2024-04-11,4.4932775,4.548854,4.44478,4.4984307,4035.0,3.0,4.0,Syn
2024-04-10,4.5051494,4.5514894,4.4491487,4.498213,4034.0,2.0,4.0,Syn
2024-04-09,4.5159917,4.56573,4.4605083,4.5114517,4033.0,1.0,4.0,Syn
2024-04-08,4.5119867,4.5709295,4.4668956,4.5157766,4032.0,0.0,4.0,Syn
2024-04-05,4.5055914,4.5585303,4.4585347,4.511459,4029.0,4.0,4.0,Syn
2024-04-04,4.507571,4.5672646,4.45558,4.511689,4028.0,3.0,4.0,Syn
2024-04-03,4.5151486,4.56864,4.4650345,4.511907,4027.0,2.0,4.0,Syn
2024-04-02,4.5084457,4.5638256,4.460026,4.5144925,4026.0,1.0,4.0,Syn
2024-04-01,4.5011077,4.5541024,4.4494734,4.504189,4025.0,0.0,4.0,Syn
2024-03-29,4.520643,4.5704966,4.4647865,4.509843,4022.0,4.0,3.0,Syn
2024-03-28,4.5158277,4.5779815,4.465759,4.523573,4021.0,3.0,3.0,Syn
2024-03-27,4.514883,4.565225,4.461069,4.509324,4020.0,2.0,3.0,Syn
2024-03-26,4.524353,4.5762267,4.4693036,4.5178432,4019.0,1.0,3.0,Syn
2024-03-25,4.5237594,4.5792313,4.473863,4.528963,4018.0,0.0,3.0,Syn
2024-03-22,4.5186324,4.5730247,4.467672,4.522505,4015.0,4.0,3.0,Syn
2024-03-21,4.5211763,4.572837,4.4697433,4.521117,4014.0,3.0,3.0,Syn
2024-03-20,4.5159855,4.5748286,4.4730783,4.523495,4013.0,2.0,3.0,Syn
2024-03-19,4.5136347,4.5678773,4.4614196,4.5165133,4012.0,1.0,3.0,Syn
